RFID,SERIAL,SIZE,CartType,BORN_DATE
130225022758000213605807,0213605807,96,Recycle,2/25/2013 2:28
130225022713000213605806,0213605806,96,Recycle,2/25/2013 2:27
130225021743000213605802,0213605802,96,Recycle,2/25/2013 2:18
130225021659000213605799,0213605799,96,Recycle,2/25/2013 2:17
130225021620000213605797,0213605797,96,Recycle,2/25/2013 2:16
130225021541000213605769,0213605769,96,Recycle,2/25/2013 2:16
130225021503000213605793,0213605793,96,Recycle,2/25/2013 2:15
130225021426000213605801,0213605801,96,Recycle,2/25/2013 2:15
130225021327000213605800,0213605800,96,Recycle,2/25/2013 2:14
130225021252000213605798,0213605798,96,Recycle,2/25/2013 2:13
130225021211000213605796,0213605796,96,Recycle,2/25/2013 2:12
130225020223000213605788,0213605788,96,Recycle,2/25/2013 2:03
130225020142000213605792,0213605792,96,Recycle,2/25/2013 2:02
130225020112000213605789,0213605789,96,Recycle,2/25/2013 2:01
130225015951000213605790,0213605790,96,Recycle,2/25/2013 2:00
130225015858000213605775,0213605775,96,Recycle,2/25/2013 1:59
130225015820000213605786,0213605786,96,Recycle,2/25/2013 1:58
130225015726000213605787,0213605787,96,Recycle,2/25/2013 1:58
130225015557000213605782,0213605782,96,Recycle,2/25/2013 1:57
130225015517000213605785,0213605785,96,Recycle,2/25/2013 1:55
130225014506000213605781,0213605781,96,Recycle,2/25/2013 1:45
130225014418000213605784,0213605784,96,Recycle,2/25/2013 1:44
130225014333000213605779,0213605779,96,Recycle,2/25/2013 1:44
130225014257000213605783,0213605783,96,Recycle,2/25/2013 1:43
130225014156000213605780,0213605780,96,Recycle,2/25/2013 1:42
130225014117000213605776,0213605776,96,Recycle,2/25/2013 1:41
130225014008000213605777,0213605777,96,Recycle,2/25/2013 1:41
130225013934000213605773,0213605773,96,Recycle,2/25/2013 1:40
130225013908000213605778,0213605778,96,Recycle,2/25/2013 1:39
130225012830000213605774,0213605774,96,Recycle,2/25/2013 1:29
130225012755000213605772,0213605772,96,Recycle,2/25/2013 1:28
130225012721000213605766,0213605766,96,Recycle,2/25/2013 1:27
130225012629000213605770,0213605770,96,Recycle,2/25/2013 1:27
130225012547000213605771,0213605771,96,Recycle,2/25/2013 1:26
130225012516000213605765,0213605765,96,Recycle,2/25/2013 1:25
130225012413000213605767,0213605767,96,Recycle,2/25/2013 1:25
130225012326000213605768,0213605768,96,Recycle,2/25/2013 1:24
130225012041000213605764,0213605764,96,Recycle,2/25/2013 1:22
130225010957000213605763,0213605763,96,Recycle,2/25/2013 1:10
130225010924000213605760,0213605760,96,Recycle,2/25/2013 1:09
130225010841000213605762,0213605762,96,Recycle,2/25/2013 1:09
130225010757000213605758,0213605758,96,Recycle,2/25/2013 1:08
130225010717000213605761,0213605761,96,Recycle,2/25/2013 1:07
130225010625000213605757,0213605757,96,Recycle,2/25/2013 1:07
130225010525000213605759,0213605759,96,Recycle,2/25/2013 1:06
130225010441000213605756,0213605756,96,Recycle,2/25/2013 1:05
130225010407000213605755,0213605755,96,Recycle,2/25/2013 1:04
130225005357000213605754,0213605754,96,Recycle,2/25/2013 0:54
130225005253000213605752,0213605752,96,Recycle,2/25/2013 0:53
130225005206000213605753,0213605753,96,Recycle,2/25/2013 0:52
130225005127000213605750,0213605750,96,Recycle,2/25/2013 0:52
130225005030000213605748,0213605748,96,Recycle,2/25/2013 0:51
130225004947000213605751,0213605751,96,Recycle,2/25/2013 0:50
130225004855000213605749,0213605749,96,Recycle,2/25/2013 0:49
130225004811000213605746,0213605746,96,Recycle,2/25/2013 0:48
130225004747000213605747,0213605747,96,Recycle,2/25/2013 0:48
130225003107000213605737,0213605737,96,Recycle,2/25/2013 0:31
130225002932000213605740,0213605740,96,Recycle,2/25/2013 0:30
130225002845000213605741,0213605741,96,Recycle,2/25/2013 0:29
130225002743000213605735,0213605735,96,Recycle,2/25/2013 0:28
130225002706000213605736,0213605736,96,Recycle,2/25/2013 0:27
130225002620000213605738,0213605738,96,Recycle,2/25/2013 0:27
130225002455000213605734,0213605734,96,Recycle,2/25/2013 0:26
130225002416000213605739,0213605739,96,Recycle,2/25/2013 0:24
130225002342000213605733,0213605733,96,Recycle,2/25/2013 0:24
130225001436000213605731,0213605731,96,Recycle,2/25/2013 0:15
130225001400000213605732,0213605732,96,Recycle,2/25/2013 0:14
130225001323000213605729,0213605729,96,Recycle,2/25/2013 0:13
130225001221000213605725,0213605725,96,Recycle,2/25/2013 0:13
130225001138000213605730,0213605730,96,Recycle,2/25/2013 0:12
130225001058000213605726,0213605726,96,Recycle,2/25/2013 0:11
130225000912000213605728,0213605728,96,Recycle,2/25/2013 0:10
130225000820000213605724,0213605724,96,Recycle,2/25/2013 0:09
130225000747000213605727,0213605727,96,Recycle,2/25/2013 0:08
130224235834000213605721,0213605721,96,Recycle,2/24/2013 23:59
130224235800000213605717,0213605717,96,Recycle,2/24/2013 23:58
130224235726000213605715,0213605715,96,Recycle,2/24/2013 23:57
130224235648000213605723,0213605723,96,Recycle,2/24/2013 23:57
130224235544000213605718,0213605718,96,Recycle,2/24/2013 23:56
130224235456000213605722,0213605722,96,Recycle,2/24/2013 23:55
130224235401000213605716,0213605716,96,Recycle,2/24/2013 23:54
130224235323000213605720,0213605720,96,Recycle,2/24/2013 23:54
130224235253000213605719,0213605719,96,Recycle,2/24/2013 23:53
130224234324000213605713,0213605713,96,Recycle,2/24/2013 23:43
130224234243000213605706,0213605706,96,Recycle,2/24/2013 23:43
130224234209000213605714,0213605714,96,Recycle,2/24/2013 23:42
130224234131000213605711,0213605711,96,Recycle,2/24/2013 23:42
130224234053000213605709,0213605709,96,Recycle,2/24/2013 23:41
130224234012000213605712,0213605712,96,Recycle,2/24/2013 23:40
130224233918000213605710,0213605710,96,Recycle,2/24/2013 23:40
130224233842000213605707,0213605707,96,Recycle,2/24/2013 23:39
130224233810000213605708,0213605708,96,Recycle,2/24/2013 23:38
130224232757000213605705,0213605705,96,Recycle,2/24/2013 23:28
130224232724000213605704,0213605704,96,Recycle,2/24/2013 23:27
130224232649000213605702,0213605702,96,Recycle,2/24/2013 23:27
130224232612000213605699,0213605699,96,Recycle,2/24/2013 23:26
130224232539000213605695,0213605695,96,Recycle,2/24/2013 23:26
130224232458000213605698,0213605698,96,Recycle,2/24/2013 23:25
130224232402000213605703,0213605703,96,Recycle,2/24/2013 23:24
130224232323000213605700,0213605700,96,Recycle,2/24/2013 23:24
130224232258000213605701,0213605701,96,Recycle,2/24/2013 23:23
130224231216000213605691,0213605691,96,Recycle,2/24/2013 23:12
130224231140000213605688,0213605688,96,Recycle,2/24/2013 23:12
130224231057000213605697,0213605697,96,Recycle,2/24/2013 23:11
130224231010000213605696,0213605696,96,Recycle,2/24/2013 23:10
130224230934000213605692,0213605692,96,Recycle,2/24/2013 23:10
130224230848000213605689,0213605689,96,Recycle,2/24/2013 23:09
130224230804000213605690,0213605690,96,Recycle,2/24/2013 23:08
130224230729000213605693,0213605693,96,Recycle,2/24/2013 23:08
130224230659000213605694,0213605694,96,Recycle,2/24/2013 23:07
130224225053000213605687,0213605687,96,Recycle,2/24/2013 22:51
130224224936000213605686,0213605686,96,Recycle,2/24/2013 22:50
130224224754000213605685,0213605685,96,Recycle,2/24/2013 22:48
130224224718000213605684,0213605684,96,Recycle,2/24/2013 22:47
130224224639000213605682,0213605682,96,Recycle,2/24/2013 22:47
130224224601000213605679,0213605679,96,Recycle,2/24/2013 22:46
130224224511000213605683,0213605683,96,Recycle,2/24/2013 22:45
130224224437000213605680,0213605680,96,Recycle,2/24/2013 22:45
130224224403000213605681,0213605681,96,Recycle,2/24/2013 22:44
130224223501000213605678,0213605678,96,Recycle,2/24/2013 22:35
130224223332000213605677,0213605677,96,Recycle,2/24/2013 22:34
130224223256000213605676,0213605676,96,Recycle,2/24/2013 22:33
130224223324000213219539,0213219539,96,Recycle,2/24/2013 22:33
130224223309000213219526,0213219526,96,Recycle,2/24/2013 22:33
130224223200000213605674,0213605674,96,Recycle,2/24/2013 22:32
130224223249000213219540,0213219540,96,Recycle,2/24/2013 22:32
130224223235000213219529,0213219529,96,Recycle,2/24/2013 22:32
130224223220000213219541,0213219541,96,Recycle,2/24/2013 22:32
130224223206000213219538,0213219538,96,Recycle,2/24/2013 22:32
130224223123000213605675,0213605675,96,Recycle,2/24/2013 22:31
130224223148000213219519,0213219519,96,Recycle,2/24/2013 22:31
130224223128000213219514,0213219514,96,Recycle,2/24/2013 22:31
130224223049000213605672,0213605672,96,Recycle,2/24/2013 22:31
130224223113000213219524,0213219524,96,Recycle,2/24/2013 22:31
130224222954000213605670,0213605670,96,Recycle,2/24/2013 22:30
130224222912000213605671,0213605671,96,Recycle,2/24/2013 22:29
130224222837000213605673,0213605673,96,Recycle,2/24/2013 22:29
130224221954000213605669,0213605669,96,Recycle,2/24/2013 22:20
130224221906000213605668,0213605668,96,Recycle,2/24/2013 22:19
130224221751000213605667,0213605667,96,Recycle,2/24/2013 22:18
130224221716000213605666,0213605666,96,Recycle,2/24/2013 22:17
130224221627000213605661,0213605661,96,Recycle,2/24/2013 22:17
130224221542000213605665,0213605665,96,Recycle,2/24/2013 22:16
130224221446000213605662,0213605662,96,Recycle,2/24/2013 22:15
130224221359000213605663,0213605663,96,Recycle,2/24/2013 22:14
130224221327000213605664,0213605664,96,Recycle,2/24/2013 22:13
130224220429000213605625,0213605625,96,Recycle,2/24/2013 22:04
130224220332000213605660,0213605660,96,Recycle,2/24/2013 22:04
130224220213000213605659,0213605659,96,Recycle,2/24/2013 22:02
130224220131000213605658,0213605658,96,Recycle,2/24/2013 22:02
130224220057000213605657,0213605657,96,Recycle,2/24/2013 22:01
130224220020000213605654,0213605654,96,Recycle,2/24/2013 22:00
130224215918000213605655,0213605655,96,Recycle,2/24/2013 22:00
130224215838000213605653,0213605653,96,Recycle,2/24/2013 21:59
130224215758000213605656,0213605656,96,Recycle,2/24/2013 21:58
130224215010000213605652,0213605652,96,Recycle,2/24/2013 21:50
130224214922000213605643,0213605643,96,Recycle,2/24/2013 21:50
130224214837000213605651,0213605651,96,Recycle,2/24/2013 21:49
130224214800000213605649,0213605649,96,Recycle,2/24/2013 21:48
130224214725000213605650,0213605650,96,Recycle,2/24/2013 21:47
